Modality,Operator,PSNR,FOM
mri,Roberts,13.073392440712402,0.9191913977153514
mri,Frei-Chen,13.043651622197475,0.9278991766826938
mri,Sobel,12.4437498120388,0.9305249032322543
mri,Prewitt,12.445930053334278,0.9296064465979699
mri,Kirsch,12.394459728312556,0.9300459417523825
mri,LoG,12.700497424863626,0.8312909594444724
mri,Roberts,12.49654796742937,0.9225826382219714
mri,Frei-Chen,12.443688549879736,0.9300867126156573
mri,Sobel,12.509648976407288,0.9317184679186052
mri,Prewitt,12.507630192519654,0.9304701101161758
mri,Kirsch,12.4601597498939,0.9303938899685321
mri,LoG,12.748973090237222,0.8334924140259968
mri,Roberts,12.558870060585587,0.9243269088153583
mri,Frei-Chen,12.507583409350765,0.9311322109670616
mri,Sobel,12.836630583108041,0.9303570679454857
mri,Prewitt,12.837299693504487,0.9294689937538911
mri,Kirsch,12.796359428603267,0.9303123479952711
mri,LoG,13.058399052195695,0.8303911791927417
mri,Roberts,12.912534184395586,0.9229917438613714
mri,Frei-Chen,12.83586163316829,0.9299069221033502
mri,Sobel,13.355699939685117,0.9295176928194419
mri,Prewitt,13.362432152498798,0.9284273033042906
mri,Kirsch,13.3256399375339,0.92977920297975
mri,LoG,13.51729094734704,0.8276017103344042
mri,Roberts,13.428086831037117,0.9229830032213029
mri,Frei-Chen,13.358719720174374,0.9290116690455672
mri,Sobel,13.17229255398259,0.9342694788160392
mri,Prewitt,13.181280440255367,0.9327189356867686
mri,Kirsch,13.120585171061608,0.9333661637554458
mri,LoG,13.254311121074158,0.8253242297953672
mri,Roberts,13.276313011083047,0.9253887510914294
mri,Frei-Chen,13.176026772224743,0.9335997146774588
mri,Sobel,13.410625438025894,0.9370033721826271
mri,Prewitt,13.408223417948868,0.9356543818120824
mri,Kirsch,13.379190965892763,0.9355914676281017
